"Katalog","Kodiersystem","Kode","P-Code1","P-Code2","P-Code3","Text1","Text2","Text3","Text4","Text5","Text6","DatumGueltigkeit","ADV16_Int"
"016","000","0813271","SA071330009",,"S.Campinense","Salmonella Campinense",,,,,,"20071127",813271
"016","000","0813272","SA020700009",,"S.Canada","Salmonella Canada",,,,,,"20071127",813272
"016","000","0813273","SA260780009",,"S.Canary","Salmonella Canary",,,,,,"20071127",813273
"016","000","0813274","SA210960009",,"S.Cannobio","Salmonella Cannobio",,,,,,"20071127",813274
"016","000","0813275","SA120470009",,"S.Cannonhill","Salmonella Cannonhill",,,,,,"20071127",813275
"016","000","0813276","SA120330009",,"S.Cannstatt","Salmonella Cannstatt",,,,,,"20071127",813276
"016","000","0813277","SA285840009",,"S.Canton","Salmonella Canton",,,,,,"20071127",813277
"016","000","0813278","SA160080009",,"S.Caracas","Salmonella Caracas",,,,,,"20071127",813278
"016","000","0813279","SA160081009",,"S.Caracas O:1-,25-","Salmonella Caracas O:1-,25-",,,,,,"20071127",813279
"016","000","0813280","SA171170009",,"S.Cardoner","Salmonella Cardoner",,,,,,"20071127",813280
"016","000","0813281","SA180100009",,"S.Carmel","Salmonella Carmel",,,,,,"20071127",813281
"016","000","0813282","SA190140009",,"S.Carnac","Salmonella Carnac",,,,,,"20071127",813282
"016","000","0813283","SA120190009",,"S.Carno","Salmonella Carno",,,,,,"20071127",813283
"016","000","0813284","SA160120009",,"S.Carrau","Salmonella Carrau",,,,,,"20071127",813284
"016","000","0813285","SA285250009",,"S.Carswell","Salmonella Carswell",,,,,,"20071127",813285
"016","000","0813286","SA281010009",,"S.Casablanca","Salmonella Casablanca",,,,,,"20071127",813286
"016","000","0813287","SA260650009",,"S.Casamance","Salmonella Casamance",,,,,,"20071127",813287
"016","000","0813288","SA210950009",,"S.Catalunia","Salmonella Catalunia",,,,,,"20071127",813288
"016","000","0813289","SA160690009",,"S.Catanzaro","Salmonella Catanzaro",,,,,,"20071127",813289
"016","000","0813290","SA120790009",,"S.Catumagos","Salmonella Catumagos",,,,,,"20071127",813290
"016","000","0813291","SA031220009",,"S.Cayar","Salmonella Cayar",,,,,,"20071127",813291
"016","000","0813292","SA190031009",,"S.Cerro O:6-,14-","Salmonella Cerro O:6-,14-",,,,,,"20071127",813292
"016","000","0813293","SA080680009",,"S.Ceyco","Salmonella Ceyco",,,,,,"20071127",813293
"016","000","0813294","SA140420009",,"S.Chagoua","Salmonella Chagoua",,,,,,"20071127",813294
"016","000","0813295","SA250020009",,"S.Champaign","Salmonella Champaign",,,,,,"20071127",813295
"016","000","0813296","SA130040009",,"S.Chandans","Salmonella Chandans",,,,,,"20071127",813296
"016","000","0813297","SA160040009",,"S.Charity","Salmonella Charity",,,,,,"20071127",813297
"016","000","0813298","SA041150009",,"S.Charlottenburg","Salmonella Charlottenburg",,,,,,"20071127",813298
"016","000","0813299","SA081430009",,"S.Cheltenham","Salmonella Cheltenham",,,,,,"20071127",813299
"016","000","0813300","SA020301009",,"S.Chester O:5-","Salmonella Chester O:5-",,,,,,"20071127",813300
"016","000","0813301","SA210140009",,"S.Chicago","Salmonella Chicago",,,,,,"20071127",813301
"016","000","0813302","SA210141009",,"S.Chicago H:I+","Salmonella Chicago H:I+",,,,,,"20071127",813302
"016","000","0813303","SA120730009",,"S.Chichester","Salmonella Chichester",,,,,,"20071127",813303
"016","000","0813304","SA160560009",,"S.Chichiri","Salmonella Chichiri",,,,,,"20071127",813304
"016","000","0813305","SA031550009",,"S.Chile","Salmonella Chile",,,,,,"20071127",813305
"016","000","0813306","SA040680009",,"S.Chincol","Salmonella Chincol",,,,,,"20071127",813306
"016","000","0813307","SA130050009",,"S.Chingola","Salmonella Chingola",,,,,,"20071127",813307
"016","000","0813308","SA130600009",,"S.Chiredzi","Salmonella Chiredzi",,,,,,"20071127",813308
"016","000","0813309","SA120150009",,"S.Chittagong","Salmonella Chittagong",,,,,,"20071127",813309
"016","000","0813310","SA030122009",,"S.Choleraesuis v.Decatur","Salmonella Choleraesuis v.Decatur",,,,,,"20071127",813310
"016","000","0813311","SA030121009",,"S.Choleraesuis v.Kunzendorf","Salmonella Choleraesuis v.Kunzendorf",,,,,,"20071127",813311
"016","000","0813312","SA041380009",,"S.Chomedey","Salmonella Chomedey",,,,,,"20071127",813312
"016","000","0813313","SA280140009",,"S.Christiansborg","Salmonella Christiansborg",,,,,,"20071127",813313
"016","000","0813314","SA021140009",,"S.Clackamas","Salmonella Clackamas",,,,,,"20071127",813314
