"osm_id","ort","plz","bundesland","PLZ_Int"
453373,"Angelbachtal","74918","Baden-Württemberg",74918
225487,"Angelburg","35719","Hessen",35719
396220,"Angelroda","99338","Thüringen",99338
941791,"Anger","83454","Bayern",83454
1334084,"Angermünde","16278","Brandenburg",16278
1286657,"Angern","39326","Sachsen-Anhalt",39326
1286657,"Angern","39517","Sachsen-Anhalt",39517
444701,"Anhausen","56584","Rheinland-Pfalz",56584
1424417,"Ankershagen","17219","Mecklenburg-Vorpommern",17219
1432550,"Anklam","17389","Mecklenburg-Vorpommern",17389
1817198,"Ankum","49577","Niedersachsen",49577
536625,"Annaberg-Buchholz","09456","Sachsen",9456
2283775,"Annaburg","06925","Sachsen-Anhalt",6925
1252764,"Annweiler am Trifels","76855","Rheinland-Pfalz",76855
153400,"Anröchte","59609","Nordrhein-Westfalen",59609
2896623,"Anrode","99976","Thüringen",99976
62654,"Ansbach","91522","Bayern",91522
548034,"Anschau","56729","Rheinland-Pfalz",56729
936943,"Antdorf","82387","Bayern",82387
418326,"Antrifttal","36326","Hessen",36326
1060412,"Antweiler","53533","Rheinland-Pfalz",53533
929824,"Anzing","85646","Bayern",85646
1176599,"Apelern","31552","Niedersachsen",31552
1187347,"Apen","26689","Niedersachsen",26689
1285614,"Apenburg-Winterfeld","38486","Sachsen-Anhalt",38486
446434,"Apensen","21641","Niedersachsen",21641
932427,"Apfeldorf","86974","Bayern",86974
957119,"Apfeltrach","87742","Bayern",87742
2856439,"Apolda","99510","Thüringen",99510
278581,"Appel","21279","Niedersachsen",21279
443484,"Appen","25482","Schleswig-Holstein",25482
1245804,"Appenheim","55437","Rheinland-Pfalz",55437
452982,"Appenweier","77767","Baden-Württemberg",77767
1075157,"Arbach","56769","Rheinland-Pfalz",56769
534392,"Arberg","91722","Bayern",91722
1060418,"Aremberg","53533","Rheinland-Pfalz",53533
1285588,"Arendsee (Altmark)","39619","Sachsen-Anhalt",39619
1259126,"Arenrath","54518","Rheinland-Pfalz",54518
2395853,"Arenshausen","37318","Thüringen",37318
943712,"Aresing","86561","Bayern",86561
548036,"Arft","56729","Rheinland-Pfalz",56729
2806737,"Argenbühl","88260","Baden-Württemberg",88260
1244212,"Argenschwang","55595","Rheinland-Pfalz",55595
1241484,"Argenthal","55496","Rheinland-Pfalz",55496
2011073,"Arholzen","37627","Niedersachsen",37627
423046,"Arkebek","25767","Schleswig-Holstein",25767
1405506,"Arlewatt","25860","Schleswig-Holstein",25860
1248409,"Armsheim","55288","Rheinland-Pfalz",55288
423191,"Armstedt","24616","Schleswig-Holstein",24616
1527157,"Armstorf","21769","Niedersachsen",21769
959155,"Arnbruck","93471","Bayern",93471
1284740,"Arneburg","39596","Sachsen-Anhalt",39596
1145353,"Arnis","24399","Schleswig-Holstein",24399
157396,"Arnsberg","59755","Nordrhein-Westfalen",59755
157396,"Arnsberg","59757","Nordrhein-Westfalen",59757
